,Country_name,Regional_indicator,Ladder_score,Social_support,Healthy_life_expectancy,Perceptions_of_corruption,year
858,Japan,Unspecified,5.9079999999999995,0.878,75.1,0.617,2019
859,Japan,Unspecified,6.117999999999999,0.887,75.2,0.609,2020
873,Jordan,Unspecified,4.453,0.7929999999999999,67.0,,2019
874,Jordan,Unspecified,4.093999999999999,0.7090000000000001,67.2,,2020
888,Kazakhstan,Unspecified,6.272,0.951,65.2,0.708,2019
889,Kazakhstan,Unspecified,6.167999999999999,0.966,65.8,0.6609999999999999,2020
903,Kenya,Unspecified,4.619,0.6759999999999999,60.7,0.794,2019
904,Kenya,Unspecified,4.547,0.674,61.3,0.8370000000000001,2020
917,Kosovo,Unspecified,6.425,0.843,,0.92,2019
918,Kosovo,Unspecified,6.294,0.792,,0.91,2020
929,Kuwait,Unspecified,6.106,0.8420000000000001,66.9,,2019
943,Kyrgyzstan,Unspecified,5.685,0.877,64.4,0.885,2019
944,Kyrgyzstan,Unspecified,6.25,0.902,64.7,0.9309999999999999,2020
952,Laos,Unspecified,5.197,0.7290000000000001,59.1,0.62,2019
953,Laos,Unspecified,5.284,0.66,59.5,0.748,2020
966,Latvia,Unspecified,5.97,0.9359999999999999,67.1,0.789,2019
967,Latvia,Unspecified,6.229,0.9279999999999999,67.4,0.809,2020
981,Lebanon,Unspecified,4.024,0.866,67.6,0.89,2019
985,Lesotho,Unspecified,3.512,0.79,48.7,0.915,2019
994,Liberia,Unspecified,5.121,0.7120000000000001,56.9,0.828,2019
1000,Libya,Unspecified,5.33,0.8270000000000001,62.3,0.6859999999999999,2019
1014,Lithuania,Unspecified,6.064,0.9179999999999999,67.9,0.7829999999999999,2019
1015,Lithuania,Unspecified,6.391,0.953,68.5,0.8290000000000001,2020
1026,Luxembourg,Unspecified,7.404,0.912,72.6,0.39,2019
1037,Madagascar,Unspecified,4.3389999999999995,0.701,59.5,0.72,2019
1049,Malawi,Unspecified,3.8689999999999998,0.5489999999999999,58.3,0.68,2019
1061,Malaysia,Unspecified,5.428,0.8420000000000001,67.2,0.782,2019
1075,Mali,Unspecified,4.988,0.755,52.2,0.846,2019
1086,Malta,Unspecified,6.733,0.922,72.2,0.6890000000000001,2019
1087,Malta,Unspecified,6.157,0.938,72.2,0.675,2020
1100,Mauritania,Unspecified,4.1530000000000005,0.7979999999999999,57.3,0.743,2019
1106,Mauritius,Unspecified,6.2410000000000005,0.9129999999999999,66.7,0.81,2019
1107,Mauritius,Unspecified,6.015,0.893,67.0,0.772,2020
1121,Mexico,Unspecified,6.432,0.852,68.6,0.809,2019
1122,Mexico,Unspecified,5.9639999999999995,0.779,68.9,0.778,2020
1136,Moldova,Unspecified,5.803,0.809,65.7,0.884,2019
1137,Moldova,Unspecified,5.812,0.8740000000000001,66.4,0.941,2020
1149,Mongolia,Unspecified,5.563,0.946,62.5,0.873,2019
1150,Mongolia,Unspecified,6.011,0.9179999999999999,62.7,0.843,2020
1162,Montenegro,Unspecified,5.386,0.8320000000000001,68.7,0.82,2019
1163,Montenegro,Unspecified,5.722,0.887,68.9,0.845,2020
1172,Morocco,Unspecified,5.0569999999999995,0.535,66.2,0.757,2019
1173,Morocco,Unspecified,4.803,0.5529999999999999,66.5,0.8029999999999999,2020
1181,Mozambique,Unspecified,4.9319999999999995,0.742,55.2,0.682,2019
1189,Myanmar,Unspecified,4.434,0.763,59.3,0.682,2019
1190,Myanmar,Unspecified,4.431,0.7959999999999999,59.6,0.647,2020
1195,Namibia,Unspecified,4.436,0.845,56.8,0.879,2019
1196,Namibia,Unspecified,4.4510000000000005,0.741,57.1,0.81,2020
1210,Nepal,Unspecified,5.449,0.772,64.6,0.7120000000000001,2019
1223,Netherlands,Unspecified,7.425,0.941,72.4,0.36,2019
1224,Netherlands,Unspecified,7.504,0.9440000000000001,72.5,0.281,2020
1237,New Zealand,Unspecified,7.205,0.9390000000000001,73.4,0.23399999999999999,2019
1238,New Zealand,Unspecified,7.257000000000001,0.9520000000000001,73.6,0.28300000000000003,2020
1252,Nicaragua,Unspecified,6.1129999999999995,0.8740000000000001,67.8,0.622,2019
1266,Niger,Unspecified,5.004,0.677,54.0,0.7290000000000001,2019
1278,Nigeria,Unspecified,4.356,0.7340000000000001,50.1,0.873,2019
1279,Nigeria,Unspecified,5.502999999999999,0.7390000000000001,50.5,0.9129999999999999,2020
1286,North Cyprus,Unspecified,5.4670000000000005,0.8029999999999999,,0.64,2019
1298,North Macedonia,Unspecified,5.015,0.815,65.47399999999999,0.9229999999999999,2019
1299,North Macedonia,Unspecified,5.053999999999999,0.75,65.56,0.877,2020
1308,Norway,Unspecified,7.442,0.9420000000000001,73.3,0.271,2019
1309,Norway,Unspecified,7.29,0.956,73.4,0.271,2020
1324,Pakistan,Unspecified,4.4430000000000005,0.617,58.9,0.7759999999999999,2019
1338,Palestinian Territories,Unspecified,4.4830000000000005,0.833,,0.8290000000000001,2019
1352,Panama,Unspecified,6.086,0.8859999999999999,69.7,0.8690000000000001,2019
1365,Paraguay,Unspecified,5.653,0.892,65.9,0.882,2019
1379,Peru,Unspecified,5.999,0.809,68.4,0.8740000000000001,2019
1393,Philippines,Unspecified,6.268,0.845,62.0,0.748,2019
1394,Philippines,Unspecified,5.08,0.7809999999999999,62.1,0.7440000000000001,2020
1407,Poland,Unspecified,6.242000000000001,0.878,69.7,0.696,2019
1408,Poland,Unspecified,6.138999999999999,0.953,70.1,0.787,2020
1420,Portugal,Unspecified,6.095,0.8759999999999999,72.6,0.915,2019
1421,Portugal,Unspecified,5.768,0.875,72.8,0.867,2020
1439,Romania,Unspecified,6.13,0.8420000000000001,67.5,0.9540000000000001,2019
1453,Russia,Unspecified,5.441,0.91,64.7,0.848,2019
1454,Russia,Unspecified,5.495,0.887,65.1,0.823,2020
1466,Rwanda,Unspecified,3.2680000000000002,0.489,61.7,0.168,2019
1480,Saudi Arabia,Unspecified,6.561,0.912,66.6,,2019
1481,Saudi Arabia,Unspecified,6.56,0.89,66.9,,2020
1495,Senegal,Unspecified,5.489,0.688,60.0,0.7959999999999999,2019
1507,Serbia,Unspecified,6.2410000000000005,0.903,68.6,0.813,2019
1508,Serbia,Unspecified,6.042000000000001,0.852,69.0,0.8240000000000001,2020
1520,Sierra Leone,Unspecified,3.447,0.611,52.4,0.8740000000000001,2019
1533,Singapore,Unspecified,6.377999999999999,0.925,77.1,0.07,2019
1544,Slovakia,Unspecified,6.242999999999999,0.9329999999999999,69.2,0.9259999999999999,2019
1545,Slovakia,Unspecified,6.519,0.9540000000000001,69.5,0.9009999999999999,2020
1557,Slovenia,Unspecified,6.665,0.9490000000000001,71.4,0.785,2019
1558,Slovenia,Unspecified,6.462000000000001,0.953,71.7,0.797,2020
1579,South Africa,Unspecified,5.035,0.848,56.9,0.82,2019
1580,South Africa,Unspecified,4.947,0.8909999999999999,57.3,0.912,2020
1594,South Korea,Unspecified,5.903,0.7829999999999999,73.9,0.718,2019
1595,South Korea,Unspecified,5.792999999999999,0.8079999999999999,74.2,0.665,2020
1613,Spain,Unspecified,6.457000000000001,0.9490000000000001,74.7,0.73,2019
1614,Spain,Unspecified,6.502000000000001,0.935,75.0,0.73,2020
1627,Sri Lanka,Unspecified,4.213,0.815,67.4,0.863,2019
